Date,SHY,IEF,TLT
2010-01-04,65.43285369873047,61.141014099121094,55.50456619262695
2010-01-05,65.51166534423828,61.409507751464844,55.86296081542969
2010-01-06,65.51956176757812,61.16167449951172,55.11520767211914
2010-01-07,65.50379180908203,61.16167449951172,55.207889556884766
2010-01-08,65.56678771972656,61.23738479614258,55.18315505981445
2010-01-11,65.59832763671875,61.278690338134766,54.88037872314453
2010-01-12,65.6534423828125,61.71922302246094,55.81977081298828
2010-01-13,65.59832763671875,61.42322540283203,55.170799255371094
2010-01-14,65.6612777709961,61.71238327026367,55.94333267211914
2010-01-15,65.71644592285156,61.98768615722656,56.28942108154297
2010-01-19,65.73224639892578,61.87752914428711,56.12872314453125
2010-01-20,65.73224639892578,62.090919494628906,56.69731903076172
2010-01-21,65.78732299804688,62.31808853149414,56.9568977355957
2010-01-22,65.84249877929688,62.37323760986328,56.85799789428711
2010-01-25,65.78732299804688,62.23550033569336,56.59844970703125
2010-01-26,65.79523468017578,62.359371185302734,56.61696243286133
2010-01-27,65.77162170410156,62.214847564697266,56.58608627319336
2010-01-28,65.8030776977539,62.1942024230957,56.5551872253418
2010-01-29,65.86607360839844,62.43515396118164,57.04960632324219
2010-02-01,65.8377456665039,62.2210578918457,56.53172302246094
2010-02-02,65.8456039428711,62.324615478515625,56.6929931640625
2010-02-03,65.7983169555664,62.027671813964844,56.03553009033203
2010-02-04,65.8929672241211,62.538700103759766,56.92242431640625
2010-02-05,65.99543762207031,62.73900604248047,57.04649353027344
2010-02-08,65.9481201171875,62.68377685546875,57.12092208862305
2010-02-09,65.88504028320312,62.345333099365234,56.550331115722656
2010-02-10,65.81404113769531,62.17270278930664,56.0107421875
2010-02-11,65.8377456665039,62.09669876098633,55.70683670043945
2010-02-12,65.8929672241211,62.24175262451172,55.93629837036133
2010-02-16,65.90083312988281,62.379852294921875,56.04174041748047
2010-02-17,65.8456039428711,62.048439025878906,55.40296173095703
2010-02-18,65.80613708496094,61.827388763427734,55.179683685302734
2010-02-19,65.78254699707031,61.8619270324707,55.47737121582031
2010-02-22,65.80613708496094,61.81352996826172,55.247867584228516
2010-02-23,65.86137390136719,62.28322219848633,56.109954833984375
2010-02-24,65.8929672241211,62.3177490234375,56.246395111083984
2010-02-25,65.9481201171875,62.545616149902344,56.562740325927734
2010-02-26,65.97174835205078,62.64234924316406,56.854248046875
2010-03-01,65.9599609375,62.707401275634766,56.82931137084961
